establecimiento,filas,dataset
"('COLEGIO COBAN', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO VERAPAZ', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIOLA INMACULADA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('ESCUELA NACIONAL DE CIENCIAS COMERCIALES', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO IMPERIAL', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO DE TURSMO Y AVIACON DEL NORTE I.T.A.N', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO INTERCULTRUAL ALTAVERAPACENCESE IIAV', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEOMODERNO LATINO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO DE INFORMATICACENINFAV', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO EVANGELICOLA PATRIA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO AMERICANO DEL NORTE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIOLA LIBERTAD', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTEEMILIO ROSALES PONCE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO PRIVADOSALUD Y DESARROLLO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO PRIVADO RAUL CHENAL HEINEMANN', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO MIGUEL ANGEL ASTURIAS', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO CRISTIANO BILINGUE VERBO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO NUEVOS SENDEROS', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL IMEBI', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO HISPANOAMERICANO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO DE MAGISTERIO DE EDUCACION PREPRIMARIA INFANTIL BILINGUE INTERCULTURAL LUZ DEL SABER', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTOANTON DE MONTESINOS', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO DE FORMACION INTEGRAL CIUDAD DE LA ESPERANZA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MAYA COMUNITARIO K AMOLB E', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('ICA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO LA LIBERTAD', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO PRIVADO SANTO DOMINGO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('ISEALA ESCUELA EN SU CASA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA PRONEA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('OXFORD BILINGUAL SCHOOL', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
