CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,TELEFONO_1,TELEFONO_2,DIRECCION CORREGIDA,ESTABLECIMIENTO CORREGIDO
16-01-0138-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO COBAN,KM.2 SALIDA A SAN JUAN CHAMELCO ZONA 8,77945104,MERCEDES JOSEFINA TORRES GALVEZ,JULIO CESAR VILLELA AMADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,77945104,, K M . 2  S A L I D A  A  S A N  J U A N  C H A M E L C O  Z O N A  8 ,COLEGIO COBAN
16-01-0139-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM 209.5 ENTRADA A LA CIUDAD,77367402,MERCEDES JOSEFINA TORRES GALVEZ,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,77367402,, K M  2 0 9 . 5  E N T R A D A  A  L A  C I U D A D ,COLEGIO PARTICULAR MIXTO VERAPAZ
16-01-0140-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",7A. AVENIDA 11-109 ZONA 6,78232301,MERCEDES JOSEFINA TORRES GALVEZ,VIRGINA SOLANO SERRANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,78232301,, 7 A . A V .  1 1 - 1 0 9  Z O N A  6 ,COLEGIO LA INMACULADA
16-01-0141-46,16-005,ALTA VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A CALLE 11-10 ZONA 2,79514215,RUDY ADOLFO TOT OCH,,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,79514215,, 2 A  C A L L E  1 1 - 1 0  Z O N A  2 ,ESCUELA NACIONAL DE CIENCIAS COMERCIALES
16-01-0142-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL MIXTO DEL NORTE 'EMILIO ROSALES PONCE',3A AVE 6-23 ZONA 11,79521468,RUDY ADOLFO TOT OCH,,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,79521468,, 3 A  A V E  6 - 2 3  Z O N A  1 1 ,INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE 
16-01-0143-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1-9 ZONA 3,57101061,MERCEDES JOSEFINA TORRES GALVEZ,HECOTR WALDEMAR TOT COY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,57101061,, 5 A .  C A L L E  1 - 9  Z O N A  3 ,COLEGIO PARTICULAR MIXTO IMPERIAL
16-01-0145-46,16-006,ALTA VERAPAZ,COBAN,INSTITUTO DE TURSMO Y AVIACON DEL NORTE I.T.A.N,3 AV. 5-28 ZONA 4,54641454,EFRAIN CAAL CUC,LUIS FERNANDO SOTO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,54641454,, 3  A V .  5 - 2 8  Z O N A  4 ,INSTITUTO DE TURISMO Y AVIACON DEL NORTE I.T.A.N
16-01-0147-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",7A. CALLE 11-09 ZONA 6 COBAN,49532425,MERCEDES JOSEFINA TORRES GALVEZ,MERCEDES QUIROS QUIROS,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ,49532425,, 7 A .  C A L L E  1 1 - 0 9  Z O N A  6  C O B A N ,COLEGIO LA INMACULADA
16-01-0150-46,16-006,ALTA VERAPAZ,COBAN,INSTITUTO INTERCULTRUAL ALTAVERAPACENCESE -IIAV-,3A. AVAENIDA 1-23 ZONA 4,,EFRAIN CAAL CUC,GUILLERMO ESTUARDO VASQUEZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,,, 3 A .  A V A E N I D A  1 - 2 3  Z O N A  4 ,INSTITUTO INTERCULTURAL ALTAVERAPACENCESE -IIAV-
16-01-0155-46,16-031,ALTA VERAPAZ,COBAN,"LICEO ""MODERNO LATINO""",11 AVENIDA 5-17 ZONA 4,79522555,MERCEDES JOSEFINA TORRES GALVEZ,JORGE BENEDICTO COC POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,79522555,, 1 1 A V .  5 - 1 7  Z O N A  4 ,LICEO MODERNO LATINO
