establecimiento,filas,dataset
"('COLEGIO COBAN', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO VERAPAZ', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO LA INMACULADA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('ESCUELA NACIONAL DE CIENCIAS COMERCIALES', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO IMPERIAL', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO DE TURISMO Y AVIACON DEL NORTE I.T.A.N', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO INTERCULTURAL ALTAVERAPACENCESE IIAV', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO MODERNO LATINO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO DE INFORMATICA CENINFAV', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO EVANGELICO LA PATRIA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO AMERICANO DEL NORTE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO LA LIBERTAD', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO NORMAL PREPRIMARIA BILINGÜE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO NORMAL PRIMARIA BILINGÜE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO PRIVADO RAUL CHENAL HEINEMANN', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO MIGUEL ANGEL ASTURIAS', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO CRISTIANO BILINGÜE VERBO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO NUEVOS SENDEROS', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO DE EDUCACION BILINGÜE INTERCULTURAL IMEBI', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO HISPANOAMERICANO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO DE MAGISTERIO DE EDUCACION PREPRIMARIA INFANTIL BILINGÜE INTERCULTURAL LUZ DEL SABER', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO ANTON DE MONTESINOS', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO DE FORMACIÓN INTEGRAL CIUDAD DE LA ESPERANZA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MAYA COMUNITARIO K AMOLB E', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO DE INFORMÁTICA CENINFAV', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('ICA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO PRIVADO SANTO DOMINGO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('ISEA LA ESCUELA EN SU CASA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('OXFORD BILINGÜE SCHOOL', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
